# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/MG1655.fna" "-T" "16" "-a" "data/00ref/MG1655_LF82_RS00415.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam
b0001	NC_000913.3	190	255	+	66	151.90	109.57	107.81	220.50	322.14	297.41	369.77	317.25	394.66	510.83	565.38	331.97
b0002	NC_000913.3	337	2799	+	2463	207.65	106.34	166.20	286.49	777.57	326.18	951.73	866.14	1085.76	1216.29	1177.17	451.68
b0003	NC_000913.3	2801	3733	+	933	98.06	62.57	86.91	146.20	306.54	169.07	410.76	356.18	393.69	450.87	478.47	206.31
b0004	NC_000913.3	3734	5020	+	1287	168.27	77.94	114.26	204.45	518.01	236.48	579.93	542.23	616.29	742.10	821.94	295.66
b0005	NC_000913.3	5234	5530	+	297	26.19	9.80	20.60	14.93	24	29.31	36.73	47.07	50.92	60.20	49.25	20.29
b0006	NC_000913.3	5683	6459	-	777	56.04	34.12	39.07	52.39	90.83	62.60	104.97	91.34	82.13	110.43	94.60	82.97
b0007	NC_000913.3	6529	7959	-	1431	12.84	8.53	12.03	24	20.17	16.29	45.47	21.21	33.17	39.62	37.35	43.45
b0008	NC_000913.3	8238	9191	+	954	6392.61	2347.39	3843.69	2987.13	5095.94	3414.08	3840.11	5385.34	3664.89	3897.89	8053.80	4460.57
b0009	NC_000913.3	9306	9893	+	588	324.04	161.34	234.57	159.47	376.18	216.48	404.16	407.20	375.40	396.44	584.61	280.57
b0010	NC_000913.3	9928	10494	-	567	196.75	83.25	127.52	50.50	618.50	71.65	560.37	529	437	602.33	1071.65	83.58
b0011	NC_000913.3	10643	11356	-	714	2.33	1.30	1.44	8.04	4.27	4.67	14.12	14.73	9.37	7.60	18.21	7.02
b0012	NC_000913.3	10830	11315	+	486	7.26	5.62	3.35	7.06	4.07	5.59	11.71	6.22	14.97	8.86	20.10	3.57
b0013	NC_000913.3	11382	11786	-	405	2	0.33	1	2.66	6.46	0.87	3.53	6.22	8.37	4.25	9.35	3.56
b0014	NC_000913.3	12163	14079	+	1917	4104.12	2163.62	3693.22	3501.63	7087.89	3825.59	9753.17	7024.93	8318.76	9160.20	10431.15	5516.79
b0015	NC_000913.3	14168	15298	+	1131	957.83	474.26	699.84	804.14	1054.17	837.85	1639.39	1160.03	1475.54	1594.39	1657.73	1112.60
b0016	NC_000913.3	15445	16557	+	1113	236.91	112.18	162.66	226.77	293.97	248.97	447.66	319.11	413.09	464.27	481.55	312.98
b0018	NC_000913.3	16751	16960	-	210	12.43	4.83	8.67	9.75	7.10	7	9.66	11.00	10.25	7.25	15.37	14.73
b4412	NC_000913.3	16751	16903	-	153	10.38	3.50	5.67	7.50	3.00	6	5.66	10.00	6.25	5	12.27	13.48
b4413	NC_000913.3	16952	17010	+	59	1499.00	352.75	1363.92	1162	1121.50	2149.58	1449.67	819.53	1367.83	1688.92	2424.87	2835.58
b0019	NC_000913.3	17489	18655	+	1167	187.46	133.03	153.99	122.53	490.29	143.51	400.71	594.21	373.73	402.27	759.76	215.00
b0020	NC_000913.3	18715	19620	+	906	84.60	43.04	81.68	60.33	146.96	55.01	127.37	159.16	103.09	108.09	262.43	98.49
b0021	NC_000913.3	19811	20314	-	504	12.49	7.83	11.89	13.86	22.24	18.60	41.46	22.27	42.97	37.10	27.63	22.05
b0022	NC_000913.3	20233	20508	-	276	12.21	3.74	6.82	4.46	12.32	8.05	29.47	17.37	31.74	32.11	22.53	13.28
b0023	NC_000913.3	20815	21078	-	264	7790.36	3716.13	6021.04	5761.90	7413.18	6228.70	10743.23	7351.70	10237.46	10273.42	11462.62	8088.46
b0024	NC_000913.3	21181	21399	+	219	8.38	1.50	0	1.50	8	2.61	2.50	6.25	4	5.00	8	7
b0025	NC_000913.3	21407	22348	+	942	329.72	221.62	300.33	340.43	444.24	411.50	457.72	415.56	515.02	526.33	635.86	575.04
b0026	NC_000913.3	22391	25207	+	2817	2143.56	1111.68	1723.70	2224.76	2520.91	2325.25	3216.68	2512.26	3396.14	3141.35	3603.70	3466.71
b0027	NC_000913.3	25207	25701	+	495	431.85	229.53	396.07	368.60	355.79	406.75	448.65	395.47	424.57	449.21	684.35	586.56
b0028	NC_000913.3	25826	26275	+	450	180.03	104.50	112.04	157.64	216.83	224.86	230.57	280.89	251.29	272.92	332.54	302.02
b0029	NC_000913.3	26277	27227	+	951	512.72	204	398.86	392.22	472.85	438.77	518.68	529.31	565.44	603.83	724.29	636.22
b0030	NC_000913.3	27293	28207	+	915	32.05	12.62	24.07	35.05	25.16	24	50.15	46.60	49.03	43.66	59.64	37.39
b0031	NC_000913.3	28374	29195	+	822	271.75	192.73	270.12	163.62	299.89	161	162	299.40	138.87	164.41	464.95	202.35
b0032	NC_000913.3	29651	30799	+	1149	80.46	34.84	51.65	33.54	83.81	39.30	84.76	90.21	78.51	85.30	141.17	61.90
b0033	NC_000913.3	30817	34038	+	3222	253.08	123.56	203.76	118.21	270.98	153.45	236.19	294.38	371.19	233.85	484.51	209.83
b0034	NC_000913.3	34300	34695	+	396	6.14	1.31	3.46	0.56	3.29	4.22	3.74	4.76	9.89	6.39	3.36	18.07
b0035	NC_000913.3	34781	35371	-	591	1.58	0.18	2.31	2	4.68	3.67	5.35	5.50	3.78	4.95	3.78	2.56
b0036	NC_000913.3	35377	36162	-	786	3.25	0	2.57	1.21	2.12	4.75	3.64	1.92	6.45	4.79	5.29	4.85
b0037	NC_000913.3	36271	37824	-	1554	8.05	9.37	13.27	10.74	25.59	15.52	27.15	29.16	23.42	20.41	34.36	29.53
b0038	NC_000913.3	37898	39115	-	1218	17.24	6.12	8.42	16.64	19.99	11.20	37.24	21.24	19.42	29.46	31.62	25.56
b0039	NC_000913.3	39244	40386	-	1143	12.74	9.21	17.60	26.71	25.03	23.32	55.34	31.88	65.43	41.97	39.97	31.72
b0040	NC_000913.3	40417	41931	-	1515	5.50	6.54	4.11	6.86	8.89	13.36	11.53	6.56	12.33	13.94	7.05	9.74
b0041	NC_000913.3	42403	43173	+	771	6.29	0.55	2.98	1.92	6.03	5.86	8.54	7.66	4.08	6.28	13.15	3.82
b0042	NC_000913.3	43188	44129	+	942	10.13	5.70	9.08	14.74	16.57	16.39	16.46	12.76	15.18	14.74	19.45	23.95
b0043	NC_000913.3	44180	45466	+	1287	4.17	2.07	6.98	2.69	3.18	3.21	7.95	3.71	7.73	6.69	7.98	10.98
b0044	NC_000913.3	45463	45750	+	288	0.10	0	0.50	1.27	1.58	1.90	0.34	1	7.75	2.50	0.46	0.94
